id;stock_item_name;vendor_code;vendor_sku;generated_sku;barcode;unit_price;recommended_retail_price;quantity_on_hand;item_length;item_width;item_height;item_weight;item_package_length;item_package_width;item_package_height;item_package_weight;no_of_pieces;no_of_items;manufacture;marketing_comments;internal_comments;sell_start_date;sell_end_date;sell_count;custom_fields;thumbnail_url;active_ind;last_edited_by;last_edited_when
1;Data migration dynamic;value-added Synergized;Unbranded;Awesome connecting;sky blue SAS;67694;88437;83790;34478;85876;46184;74835;41451;43921;1325;61054;29594;16036;Som Fish;architect Avon initiatives;Sports firewall application;2019-10-21;2019-10-21;16136;Incredible Grocery;circuit;true;Plastic;2019-10-21
2;Idaho;Cote d'Ivoire;customer loyalty Car;morph;one-to-one;74939;95986;57191;61630;98624;55687;41473;41577;75386;42894;87146;54090;67897;infomediaries override tan;architectures;New York Beauty Research;2019-10-21;2019-10-21;49570;Tactics;Frozen Malagasy Ariary;false;unleash;2019-10-21
3;ivory Cambridgeshire users;Auto Loan Account;Handcrafted Granite Shirt Vermont Savings Account;port TCP monitor;Saint Kitts and Nevis indexing transmitting;84332;20343;48509;12738;33362;28550;79155;53157;45129;51056;18344;82059;85497;XML Bridge;niches;auxiliary Product;2019-10-22;2019-10-22;6697;RSS;Towels parse;true;Nigeria;2019-10-21
4;Isle;mobile communities;Infrastructure Incredible Cotton Bike Incredible Soft Pants;Handmade Cotton Pants Islands;Handcrafted Plastic Fish Solutions architect;83136;66168;84232;48398;37324;531;63198;80449;9537;77280;10367;54841;4865;Rhode Island;Nevada haptic;wireless Denar hack;2019-10-22;2019-10-21;20724;monitor leverage;pink Regional;true;Future;2019-10-21
5;Investment Account invoice;COM New Caledonia hack;Lakes;port aggregate Kansas;Persistent;21491;86151;42485;86863;90783;72434;50705;74575;18792;55792;7697;58466;69615;deploy;Prairie Data ROI;Pataca motivating;2019-10-21;2019-10-21;63637;interface;overriding;false;context-sensitive payment compressing;2019-10-22
6;transmit synthesizing;parse indigo;synthesize;intuitive eyeballs Health;4th generation;41524;87918;88846;24339;82432;55733;63003;3897;85812;66684;78377;32302;42898;cyan Bedfordshire circuit;Technician bypassing;compress multi-byte protocol;2019-10-21;2019-10-22;82665;National Mobility neural;TCP Architect Organized;false;e-tailers;2019-10-22
7;Outdoors cutting-edge redundant;Home Handcrafted;Advanced;Shoes;Credit Card Account copy Rustic Fresh Hat;61952;534;56339;93841;62461;41481;86443;40233;58693;39059;58095;6932;99067;input bandwidth;Cotton Idaho New Jersey;Markets Identity extensible;2019-10-21;2019-10-21;21163;Architect Analyst;SAS Road;true;Avon Division;2019-10-21
8;cross-platform PCI Tasty;Tuna Avon Pakistan Rupee;Technician Gorgeous Rubber Keyboard calculate;Investment Account Mouse protocol;North Dakota Street;94874;16972;6060;1914;68539;77910;2496;60969;17143;69963;45357;83815;45487;Codes specifically reserved for testing purposes Global withdrawal;transition Soap Tennessee;invoice;2019-10-22;2019-10-21;74056;Fantastic Checking Account;Movies communities Unbranded;true;AGP SMS;2019-10-21
9;tan JBOD;Czech Koruna scale virtual;back-end Manager Electronics;Nuevo Sol Personal Loan Account Investment Account;synthesizing Rustic Plastic Pants Practical Frozen Shirt;81697;66930;85254;89189;93796;30605;8510;55187;38559;78940;7103;41621;21079;Multi-layered;Gorgeous Frozen Computer Rustic;Granite Strategist;2019-10-21;2019-10-22;96776;synergies;Bacon;false;withdrawal;2019-10-22
10;Music;Horizontal virtual Quetzal;Manager;solid state;navigate;7647;86465;98672;15492;27136;8273;9858;48453;82931;30241;70667;56340;61721;Keyboard Pass haptic;Plastic;Home Shoes;2019-10-21;2019-10-22;44174;Specialist revolutionize;Gorgeous Cotton Pants Expressway array;true;Zambian Kwacha calculate;2019-10-21
