id;order_date;expected_delivery_date;supplier_reference;is_order_finalized;comments;internal_comments;last_edited_by;last_edited_when
1;2019-10-21;2019-10-21;web-enabled workforce;false;reboot invoice grey;partnerships;invoice bypass;2019-10-21
2;2019-10-21;2019-10-22;Sleek;true;regional compress Personal Loan Account;Djibouti Franc Music;Money Market Account;2019-10-21
3;2019-10-22;2019-10-21;Kyrgyz Republic Unbranded Frozen Gloves back-end;false;Executive Investment Account;Legacy Slovenia;deposit Steel;2019-10-21
4;2019-10-22;2019-10-21;Compatible seize;false;niches Savings Account;content-based Research Czech Koruna;TCP invoice;2019-10-21
5;2019-10-21;2019-10-21;SCSI;true;Global;invoice;Wall;2019-10-21
6;2019-10-21;2019-10-21;override deposit;false;Saint Kitts and Nevis;user-facing Armenia panel;Metal;2019-10-21
7;2019-10-22;2019-10-21;tan Avon copying;true;Saint Lucia Pennsylvania;Money Market Account Awesome;Burundi Franc;2019-10-21
8;2019-10-21;2019-10-21;index Keyboard Overpass;false;Reduced circuit Engineer;maroon;bluetooth orange Saint Barthelemy;2019-10-21
9;2019-10-21;2019-10-21;magenta dynamic;true;Macedonia Sports;backing up calculating Electronics;Accounts cross-platform pricing structure;2019-10-22
10;2019-10-21;2019-10-21;XML Liaison;false;Port application;plum Cotton withdrawal;Costa Rican Colon;2019-10-22
