id;order_date;due_date;ship_date;payment_status;order_flag;order_number;sub_total;tax_amount;frieight;total_due;comments;delivery_instructions;internal_comments;picking_completed_when;last_edited_by;last_edited_when
1;2019-10-21;2019-10-21;2019-10-21;53093;90606;24/7 sensor;87764;96349;4165;51903;Syrian Pound hub;reciprocal sky blue Frozen;Rubber Movies navigate;2019-10-21;Wooden global;2019-10-22
2;2019-10-21;2019-10-21;2019-10-21;77314;73902;Future-proofed withdrawal;57064;135;56809;29980;payment Facilitator;Armenian Dram Tonga synthesizing;virtual Falls;2019-10-21;superstructure;2019-10-22
3;2019-10-21;2019-10-22;2019-10-21;24660;60329;Shoals Sleek Metal Car;58220;95778;99020;94272;haptic;payment invoice Arkansas;sticky Re-contextualized orchid;2019-10-22;Auto Loan Account virtual Indiana;2019-10-22
4;2019-10-21;2019-10-21;2019-10-21;63595;90642;Chicken withdrawal;80986;34519;94739;91748;object-oriented Mountains;Handmade Metal Car Canadian Dollar Solutions;deposit Canyon;2019-10-22;Paradigm Saint Martin;2019-10-22
5;2019-10-21;2019-10-21;2019-10-21;67962;96231;Money Market Account;92866;80696;76085;45966;China vortals;Florida;Manors cyan Handcrafted Fresh Keyboard;2019-10-21;haptic AI Profound;2019-10-21
6;2019-10-22;2019-10-22;2019-10-21;95142;49823;repurpose Metrics Mayotte;21911;25954;45896;43699;Savings Account Intelligent Rubber Chair Supervisor;synthesizing;National Quality Markets;2019-10-21;Strategist index Pizza;2019-10-21
7;2019-10-21;2019-10-21;2019-10-21;24734;23203;Prairie back-end;96016;56508;76357;77162;Borders Sports Jewelery;cultivate Czech Republic;deposit gold circuit;2019-10-21;transmitter Gorgeous;2019-10-21
8;2019-10-22;2019-10-22;2019-10-21;48089;89464;Music Product;15380;39783;99008;91953;Analyst Sleek Soft Shoes expedite;Handmade Automotive;Division;2019-10-21;extensible;2019-10-21
9;2019-10-21;2019-10-22;2019-10-21;56407;57384;systems overriding;90223;19159;87735;91823;Small Cambridgeshire ivory;Assimilated;Keyboard SMTP context-sensitive;2019-10-21;Oklahoma architectures;2019-10-21
10;2019-10-21;2019-10-21;2019-10-21;75877;83965;Plastic;43010;89409;90375;94645;Regional deliverables neural;XML Cook Islands;Illinois;2019-10-22;matrices;2019-10-21
