id;supplier_name;supplier_reference;bank_account_name;bank_account_branch;bank_account_code;bank_account_number;bank_international_code;payment_days;internal_comments;phone_number;fax_number;website_url;web_service_url;credit_rating;active_flag;avatar;avatar_content_type;valid_from;valid_to
1;circuit;Personal Loan Account;Generic Granite Gloves capacitor;Assurance Auto Loan Account cross-platform;indexing Handcrafted;Malta Auto Loan Account online;deposit Central African Republic;73158;Handmade Generic Concrete Tuna;Trafficway;pink Architect;override PNG;deposit Avon;55536;false;../fake-data/blob/hipster.png;image/png;2019-10-21;2019-10-21
2;workforce;Analyst deposit;whiteboard;Practical Steel Mouse;indexing;XSS;mindshare navigating Money Market Account;73535;parse Avon;XML New Jersey;Clothing target;HDD Forward;withdrawal Planner;28385;true;../fake-data/blob/hipster.png;image/png;2019-10-21;2019-10-22
3;Investment Account invoice;Customer-focused synthesize iterate;Tuna Implemented;Bedfordshire applications Sleek Cotton Bike;AI;Home Loan Account Louisiana;Checking Account Tuna;39108;Coordinator;SMTP;matrices;Savings Account redefine Multi-channelled;Team-oriented;7349;false;../fake-data/blob/hipster.png;image/png;2019-10-22;2019-10-21
4;Hill Uganda Shilling;content;New Mexico;port Pants Shirt;Credit Card Account;payment Spur;transmitter Passage SCSI;55814;Botswana;zero defect;Granite;Program;deposit;22470;false;../fake-data/blob/hipster.png;image/png;2019-10-22;2019-10-21
5;artificial intelligence;Arizona Congolese Franc;Architect Developer;Automotive;invoice;Minnesota Open-architected Lebanon;Tugrik Wooden;2997;budgetary management;Implementation feed Chips;Handmade;Table Synergistic Officer;Qatari Rial;83811;true;../fake-data/blob/hipster.png;image/png;2019-10-21;2019-10-21
6;Health Polarised transmitting;Rhode Island Music Data;Dynamic Savings Account Branding;whiteboard payment Incredible;Chips Checking Account;Facilitator;Facilitator transmit;9048;optimal Refined;unleash system engine;schemas Legacy SAS;metrics;embrace intranet deposit;32838;false;../fake-data/blob/hipster.png;image/png;2019-10-21;2019-10-21
7;mesh Iceland Krona;Jordan Savings Account;deploy Advanced;New Mexico;Pakistan Rupee;connect Berkshire;XSS Suriname;47918;Jewelery leading-edge enable;Moldova Operative;Investment Account generate;synthesize capacitor Andorra;violet Outdoors deposit;89803;true;../fake-data/blob/hipster.png;image/png;2019-10-22;2019-10-21
8;streamline azure Inlet;Rustic;Money Market Account Fiji;system engine haptic Moldova;Generic;interface zero administration networks;Christmas Island;12322;CSS haptic Fish;Licensed;white Principal;Avon neural;integrate New Caledonia;11230;true;../fake-data/blob/hipster.png;image/png;2019-10-22;2019-10-21
9;connecting HDD;digital;Savings Account action-items;Human navigate Idaho;virtual;transmitter;bandwidth Trinidad and Tobago Dollar Licensed;62385;Landing;Mouse Re-engineered;RSS sky blue Intelligent;model;Savings Account;54669;true;../fake-data/blob/hipster.png;image/png;2019-10-22;2019-10-21
10;payment Sleek Wooden Chips;Rubber;Kenyan Shilling technologies Roads;Lek Director Fresh;Credit Card Account;Virginia reciprocal;asymmetric;64528;Savings Account monetize one-to-one;extensible Practical Granite Bacon;Turkish Lira;Profit-focused;system-worthy Credit Card Account;68013;true;../fake-data/blob/hipster.png;image/png;2019-10-22;2019-10-21
