id;name;label;photo;photo_content_type
1;Belarussian Ruble invoice Sleek Cotton Cheese;Graphical User Interface Borders JSON;../fake-data/blob/hipster.png;image/png
2;array Nebraska;bus vortals Applications;../fake-data/blob/hipster.png;image/png
3;grow;synthesize Bahraini Dinar SCSI;../fake-data/blob/hipster.png;image/png
4;Lane Ergonomic Rubber Chair models;CSS gold Towels;../fake-data/blob/hipster.png;image/png
5;Licensed Frozen Gloves;empower Berkshire;../fake-data/blob/hipster.png;image/png
6;THX methodology mint green;Bedfordshire;../fake-data/blob/hipster.png;image/png
7;mobile Fall Adaptive;Incredible;../fake-data/blob/hipster.png;image/png
8;Creative clicks-and-mortar;Meadow circuit Unbranded Cotton Shoes;../fake-data/blob/hipster.png;image/png
9;array;protocol Bermuda Metal;../fake-data/blob/hipster.png;image/png
10;motivating Cheese Ergonomic Steel Car;Music turquoise e-markets;../fake-data/blob/hipster.png;image/png
