id;stock_item_name;vendor_code;vendor_sku;barcode;barcode_type_id;barcode_type_name;product_type;product_category_id;product_category_name;product_attribute_set_id;product_attribute_id;product_attribute_value;product_option_set_id;product_option_id;product_option_value;model_name;model_number;material_id;material_name;short_description;description;product_brand_id;product_brand_name;highlights;search_details;care_instructions;dangerous_goods;video_url;unit_price;remommended_retail_price;currency_code;quantity_on_hand;warranty_period;warranty_policy;warranty_type_id;warranty_type_name;what_in_the_box;item_length;item_width;item_height;item_weight;item_package_length;item_package_width;item_package_height;item_package_weight;item_length_unit_measure_id;item_length_unit_measure_code;item_width_unit_measure_id;item_width_unit_measure_code;item_height_unit_measure_id;item_height_unit_measure_code;item_weight_unit_measure_id;item_weight_unit_measure_code;item_package_length_unit_measure_id;item_package_length_unit_measure_code;item_package_width_unit_measure_id;item_package_width_unit_measure_code;item_package_height_unit_measure_id;item_package_height_unit_measure_code;item_package_weight_unit_measure_id;item_package_weight_unit_measure_code;no_of_pieces;no_of_items;manufacture;special_feactures;product_compliance_certificate;genuine_and_legal;country_of_origin;usage_and_side_effects;safety_warnning;sell_start_date;sell_end_date;status;last_edited_by;last_edited_when
1;alliance;Fresh Wyoming;Chief implement sky blue;Run withdrawal;55957;US Dollar withdrawal;SAS;40680;open system;45398;41614;Avon Dynamic Chief;81785;17549;Oregon Montana;THX architect;Ukraine scale withdrawal;14122;Texas;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;18527;systematic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Bedfordshire;programming methodical;92712;57661;YER;55876;enable cross-platform;solid state;36739;Incredible Oregon generating;../fake-data/blob/hipster.txt;79592;33764;17512;98852;67276;2523;22050;25264;21820;EXE Persevering;26324;Kids HDD auxiliary;62732;compress Ball;45832;mission-critical Gorgeous;48613;Chief;4005;mission-critical azure Seamless;90843;Avenue Springs;76057;Soap Buckinghamshire convergence;59691;70408;Accounts disintermediate transmitter;../fake-data/blob/hipster.txt;Chicken Shoes;false;world-class;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-10-21;2019-10-22;61512;Central Buckinghamshire Avon;2019-10-22
2;Home Swaziland;Configuration Officer;Shoes Field Fundamental;Route;77338;Investor;upward-trending;17349;maximize digital streamline;75076;56846;invoice;21078;23693;Bolivar Fuerte Tennessee;Markets robust access;navigating Belize copy;23442;B2C Garden;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;96149;Australian Dollar;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;withdrawal Home Loan Account payment;encoding;84810;61961;XPF;59962;Buckinghamshire B2B Product;Architect Baby;71604;array Investment Account;../fake-data/blob/hipster.txt;99010;79448;31187;27812;33997;14225;7893;31316;44279;asymmetric rich connecting;93548;lavender brand Implementation;6180;Gorgeous;16279;Money Market Account Pants Architect;44671;Bedfordshire Adaptive Center;66191;calculate compress Florida;90435;bypassing;75704;Licensed Steel Shoes fuchsia deposit;41119;71712;SCSI customized;../fake-data/blob/hipster.txt;Product encryption Boliviano Mvdol;false;lime Sausages;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-10-21;2019-10-21;42995;transmitting Wooden sensor;2019-10-21
3;national;Paradigm Rubber;e-commerce Soap Cotton;customized Incredible Concrete Fish;1517;Washington Licensed;Nebraska payment District;39951;throughput Movies;82655;25393;primary Awesome Practical;36154;11870;Planner;Business-focused;Auto Loan Account feed Kids;65871;Cyprus Refined Cheese;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;56797;knowledge base Functionality navigating;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;open-source Industrial redundant;intuitive;5034;11570;AWG;2725;Kenya white Orchestrator;Customer-focused Ohio;35920;calculating bypassing Turnpike;../fake-data/blob/hipster.txt;35081;79392;36255;15830;80571;5178;32817;55731;20905;Refined;46669;Cambridgeshire generating;22123;enable;80840;synthesizing drive;45912;concept;93255;Metal;93374;Comoro Franc;53157;Automotive Harbor;40774;24977;payment;../fake-data/blob/hipster.txt;Director Washington;true;Intelligent Cotton Bike Granite Auto Loan Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-10-21;2019-10-22;66177;Handcrafted 24/7 Palestinian Territory;2019-10-21
4;backing up virtual Investment Account;Future Security;out-of-the-box relationships;Norfolk Island analyzing maroon;28800;Delaware;programming;4191;eyeballs;16820;51827;hard drive Intelligent installation;96867;73148;Paradigm;programming;Applications;91642;withdrawal withdrawal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;40321;copy;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Handcrafted Soft Table innovate;programming Metal;83292;805;MRO;94317;Mandatory Fantastic reboot;Mandatory overriding;48402;Bedfordshire superstructure;../fake-data/blob/hipster.txt;57304;21520;32521;88435;3926;55940;27199;82848;637;Developer Director enhance;72837;cutting-edge;67109;redundant Research seize;78329;heuristic Consultant;2576;Savings Account withdrawal North Korean Won;12038;Implementation;18118;Personal Loan Account;22267;initiative Turkmenistan;41719;77629;Wooden;../fake-data/blob/hipster.txt;content transmit;true;Handcrafted harness Licensed;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-10-22;2019-10-22;66171;Money Market Account;2019-10-22
5;Enterprise-wide;transmitting;Specialist Concrete Extended;upward-trending Grocery Program;21369;interfaces;exploit;2865;West Virginia Jewelery virtual;30643;24787;Cordoba Oro;36411;39768;Supervisor Bahamas;Poland;optimizing Direct;37472;Comoros Ergonomic Cotton Shirt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;83236;digital;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;contingency;bypassing;93039;8991;BMD;19324;Incredible Rubber Pizza asymmetric;pink;75246;Refined Granite Cheese mindshare;../fake-data/blob/hipster.txt;33440;48439;39457;69380;52994;55276;16136;21625;57199;virtual;76016;Towels Fish even-keeled;36107;infrastructures Yuan Renminbi;5668;Toys harness Turkish Lira;19343;invoice;25982;FTP Product;29728;Cross-group;41130;Synergized Tunisian Dinar;82606;14110;South Africa Fantastic Rustic Metal Fish;../fake-data/blob/hipster.txt;revolutionary Kwanza;false;Small Architect Hat;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-10-21;2019-10-22;97727;cross-platform;2019-10-21
6;Montana THX zero defect;calculate technologies;e-commerce moratorium;Cambridgeshire deposit;2353;infomediaries solution-oriented Rubber;multi-byte;1620;compressing Sleek Fresh Shoes;99196;19500;deposit;78091;76536;Phased XML Ergonomic;zero administration;Codes specifically reserved for testing purposes;84688;capability;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;67648;Personal Loan Account Auto Loan Account UAE Dirham;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Grocery morph;back up;22627;46406;SBD;94306;migration;calculate white;5994;Concrete Checking Account;../fake-data/blob/hipster.txt;84944;70138;4499;11344;73415;99690;34131;18345;47852;Group benchmark;46533;Kids;8159;Switchable Health invoice;42639;Qatar Shoes modular;66382;Coordinator Licensed Fresh Soap Florida;56391;Berkshire;6939;Refined Savings Account;34095;Internal orchestrate Fresh;71471;99145;firewall;../fake-data/blob/hipster.txt;Zimbabwe Dollar Investor virtual;true;Rial Omani Intranet dedicated;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-10-22;2019-10-21;27195;azure;2019-10-21
7;deposit;synergies Handmade Metal Gloves;invoice Connecticut innovative;primary;92425;Valley Borders artificial intelligence;expedite port virtual;11821;Books card efficient;25448;14821;Awesome;81527;85115;Creative Vermont Borders;haptic;reintermediate Personal Loan Account;38872;Innovative;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;9496;budgetary management Ergonomic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;parsing;niches Belize HTTP;99556;89131;NGN;46381;flexibility Grove Graphic Interface;Dong Norwegian Krone;31523;Cotton payment Metal;../fake-data/blob/hipster.txt;57849;11956;69342;57264;70061;25674;75347;80409;87285;Cambridgeshire bandwidth;61917;olive Shoes dynamic;44303;Auto Loan Account overriding;19624;Rubber;96347;Gorgeous Greens;58556;Samoa;8603;Refined Wooden Chips Mississippi;54434;Automated;63777;29566;Program Liberia needs-based;../fake-data/blob/hipster.txt;Persistent moderator;true;Principal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-10-21;2019-10-21;58313;circuit;2019-10-21
8;invoice;Officer Seychelles Rupee;Kentucky collaborative Global;card;92410;Consultant;Quetzal toolset Kina;39593;synthesize Groves portals;93472;55047;back-end;31798;58454;Director engineer;Hills;Avon;16192;withdrawal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;99774;Courts;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Markets RAM;JBOD synergies;38727;61397;QAR;61642;Port streamline;redundant Mobility;64876;Implementation;../fake-data/blob/hipster.txt;15143;18051;47741;26247;60180;52525;58173;11120;40146;B2C Wooden whiteboard;16266;pixel;20883;Intelligent Rubber Car Money Market Account SDD;57698;end-to-end;80301;Malawi;7928;New Jersey Corporate leverage;29632;Rubber Pizza portals;59567;Sleek Paradigm;75513;46991;Buckinghamshire blue;../fake-data/blob/hipster.txt;Square;true;copying virtual coherent;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-10-21;2019-10-21;12434;JBOD;2019-10-21
9;Shirt;Checking Account redundant Motorway;Wyoming Solutions;Central Bacon mobile;61793;holistic;Small open-source local;13217;e-markets deposit;38095;11645;Rubber;18928;90240;unleash azure;backing up gold;overriding Indiana;35310;primary Cuba;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;82593;withdrawal online Checking Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;User-friendly EXE;Investment Account;22048;1433;PEN;47833;Electronics backing up;Auto Loan Account copy Sri Lanka;22677;withdrawal Generic;../fake-data/blob/hipster.txt;44183;1234;16336;14296;18445;74229;20229;24416;38670;Fantastic Cotton Pizza Cambridgeshire;48329;morph overriding Granite;50569;Small Steel Towels;57386;Wyoming CSS;55787;Research;4869;Licensed Licensed Concrete Salad Madagascar;64557;Incredible Frozen Soap indexing;29661;Unbranded Chips;12694;79648;generate;../fake-data/blob/hipster.txt;De-engineered proactive Developer;true;Program Frozen evolve;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-10-21;2019-10-21;7675;Games Azerbaijanian Manat withdrawal;2019-10-21
10;Berkshire systems Toys;Games Executive;Usability;Reunion Specialist;11475;Bedfordshire Computer;Soap;79751;Cordoba Oro;54692;11236;synergy primary;43705;28060;world-class optical;customer loyalty Tala Creative;Multi-tiered benchmark mindshare;97822;Chair digital;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;33419;port mindshare Maine;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Singapore Refined Wooden Car Quality;Metal vortals Pakistan;40273;61861;MKD;56855;Rustic Rubber Chicken index Liaison;Fish;94927;ADP Direct;../fake-data/blob/hipster.txt;99153;40908;20831;35437;35543;30282;66921;73087;48380;interfaces collaborative Money Market Account;57559;Tuna;47173;Gambia;57028;blue;74227;Computers web-enabled auxiliary;56389;empowering Surinam Dollar Massachusetts;79624;firewall;61010;Berkshire;13318;31730;District;../fake-data/blob/hipster.txt;Credit Card Account;true;eco-centric;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-10-22;2019-10-21;49623;content-based bandwidth Garden;2019-10-21
