id;invoice_date;customer_purchase_order_number;is_credit_note;credit_note_reason;comments;delivery_instructions;internal_comments;total_dry_items;total_chiller_items;delivery_run;run_position;returned_delivery_data;confirmed_delivery_time;confirmed_received_by;last_edited_by;last_edited_when
1;2019-10-21;Falls;true;Albania TCP;gold;bypassing;web-enabled;80258;43853;tan empower;Response;bypassing mobile;2019-10-21T10:30:34;Guadeloupe;Borders TCP Buckinghamshire;2019-10-21
2;2019-10-22;Crescent Response Shirt;false;interface JSON;port Credit Card Account encoding;capacitor Creative driver;deposit Handmade Concrete Bacon Small Rubber Pizza;68658;25669;withdrawal;Prairie revolutionary Rubber;Saint Kitts and Nevis Senior;2019-10-21T20:26:40;forecast;Group Zloty Zloty;2019-10-21
3;2019-10-21;Checking Account Borders;false;Rubber Pizza Fish;Soft Global;connecting;Fresh Clothing relationships;29504;44885;Awesome integrate;Soft Hawaii web-enabled;quantifying Refined Cotton Chicken navigating;2019-10-21T20:27:09;Gorgeous French Southern Territories PNG;Flat cross-platform;2019-10-21
4;2019-10-21;Virginia index Incredible;true;Tools seamless;interface;Haiti Bedfordshire Table;Steel Legacy;34587;94664;value-added;withdrawal deposit;optimize redundant;2019-10-21T15:50:33;Handcrafted;Home Loan Account next-generation salmon;2019-10-21
5;2019-10-21;Handcrafted Keyboard;true;Ameliorated Analyst;Liaison evolve;red;synergize Shirt Home;75621;14706;Bedfordshire Fresh;Cotton Identity info-mediaries;e-markets Assistant Western Sahara;2019-10-22T04:01:45;Personal Loan Account;utilize;2019-10-21
6;2019-10-21;generate Liaison;false;Mali Cheese;transmitting;B2C compressing;mint green Sleek Plastic Chicken contextually-based;96641;83068;Guadeloupe Towels;Frozen platforms;indexing maroon;2019-10-21T11:22:08;circuit middleware local area network;Investment Account lime enable;2019-10-22
7;2019-10-21;hard drive Future;false;Personal Loan Account Credit Card Account back-end;HTTP Soft;British Indian Ocean Territory (Chagos Archipelago) Licensed Metal Ball Trail;Usability;14879;94911;Cambridgeshire Sleek;XML Kansas target;Cook Islands;2019-10-21T16:38:28;niches Home Loan Account Central;Oregon SCSI;2019-10-21
8;2019-10-21;networks Auto Loan Account;true;mobile Fall;Ergonomic TCP systems;success Business-focused structure;Burg;51043;97153;azure driver;Viaduct Kwanza bus;Bulgaria withdrawal withdrawal;2019-10-21T10:28:16;B2B program Uzbekistan;Industrial Manager Zimbabwe Dollar;2019-10-21
9;2019-10-22;Books;false;next-generation payment Rustic Steel Cheese;transmit invoice program;Rial Omani Ergonomic target;Gorgeous infomediaries utilize;6600;30613;Botswana invoice;Quality Small Frozen Computer;SQL Taka;2019-10-22T03:26:09;synthesizing Reactive;Rustic Steel Fish whiteboard;2019-10-21
10;2019-10-22;SQL;false;upward-trending Shirt transitional;leverage;overriding Nicaragua;Supervisor;60349;21462;systems hack;SMS;RSS Passage;2019-10-21T10:25:55;Bangladesh payment;Multi-lateral program;2019-10-21
